Project Management,
MATLAB,
VHDL Design Tools,
Engineering Designs,
AutoCAD,
Design Verification,
Electronic Trouble shooting,
Power Simulator,
Oscilloscopes and Generators,
Test Engineering ,
Microcontroller Softwares,
Semicanductor Proess Systems,
Coding Languages,
Spice Design Simulators,
PLC design tools,
Data Analysis and Representation,
Arduino IDE,
