java,
jpa,
java persistance API,
java Messeging Services,
JMS,
java Servlets,
java applets,
applets,
servlets,
Spring,
Spring boot,
Spring boot framework,
JDBC,
core java,
Advanced Java,
Angular,
Java Script,
Angular.js,
js,
Github,
Git,
Version Control System,
AWS,
Amazon Web Services,
cloud services,
Microsoft Azure,
Azure Cloud Services,
DevOps,
Database Management,
MySql,
Oracle MySQL,
Oracle,
SQLite,
Postgresql,
SQL,
Unix,
Python,
numpy,
pandas,
sklearn,
scikitlearn,
data science,
Django DB,
Object Oriented Programming,
